Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Fname,Customer Id,Customer Lname,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode,Order Date,Year,Month,Day,DayOfWeek,Hour,Shipping Pressure Index,Order Complexity Score,Discount Risk Score,High Value Order Flag,Express Shipment Flag,International Shipment Flag,Geographical Distance,Regional Congestion Index,Route Congestion Index,Customer Reliability Score,Historical Shipping Efficiency Gap,Risk_Probability,Risk_Level,Risk_Priority_Index,Revenue_at_Risk,SLA_Risk_Index,Intervention_Score
DEBIT,6,2,-72.58,267.83,Late delivery,1,63,Children's Clothing,Union,EE. UU.,Octavia,17908,Morris,Consumer,NJ,4720 Little Sky Trail,7083,4,Apparel,40.70845795,-74.25527954,Pacific Asia,Melbourne,Australia,17908,89.28,0.25,357.1,-0.27,1,357.1,267.83,-72.58,Oceania,Victoria,ON_HOLD,Children's heaters,357.1,Second Class,2025-12-19 11:29:35.011910168,2025,12,19,4,12,1.8181818181818181,0.19284990476190472,0.25,0,0,1,16795.74553685615,0.5377740705433747,0.4888888888888889,0.5472564747919194,1.9285714285714286,0.6743579060409094,Medium,13.004985795542687,240.81320824720876,40.46147436245456,19.6507868130496
DEBIT,2,4,21.33,242.4,Advance shipping,0,71,Music,Methuen,EE. UU.,Callie,18959,Sandoval,Consumer,MA,4806 Umber Square,1844,9,Discs Shop,42.72396851,-71.18476868,Pacific Asia,Heyuan,China,18959,18.25,0.07,260.65,0.09,1,260.65,242.4,21.33,Eastern Asia,Guangdong,COMPLETE,Rock music,260.65,Standard Class,2025-12-23 17:29:48.652655136,2025,12,23,1,12,3.6363636363636362,0.18606857142857142,0.07,0,0,1,11363.881640490645,0.5390693590869183,0.5909090909090909,0.5472564747919194,-0.03236894872529361,0.34102492082712904,Medium,6.345401983984557,88.88814561359118,6.820498416542581,7.8714495304092935
TRANSFER,5,4,1.29,11.42,Late delivery,1,74,Toys,Caguas,Puerto Rico,Alyssa,19557,Suarez,Corporate,PR,10 Crystal River Mall,725,7,Fan Shop,18.22962761,-66.03705597,Pacific Asia,Noda,Japón,19557,0.12,0.01,11.54,0.11,1,11.54,11.42,1.29,Eastern Asia,Chiba,PENDING,Toys,11.54,Standard Class,2025-12-26 03:32:06.575743136,2025,12,26,4,12,3.6363636363636362,0.12447390476190474,0.01,0,0,1,14020.991971090056,0.5390693590869183,0.4533333333333333,0.5472564747919194,-0.03236894872529361,0.15702040745108525,Low,1.9544943242741863,1.8120155019855237,3.140408149021705,0.890518659828806
TRANSFER,2,4,92.56,254.98,Advance shipping,0,43,Camping & Hiking,Caguas,Puerto Rico,Mary,12365,Pearson,Home Office,PR,8732 Broad Wagon  Road,725,7,Fan Shop,18.28599739,-66.37062836,USCA,Milwaukee,Estados Unidos,12365,45.0,0.15,299.98,0.36,1,299.98,254.98,92.56,US Center,Wisconsin,PENDING,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class,2025-11-23 09:23:50.962009328,2025,11,23,6,12,3.6363636363636362,0.1894232380952381,0.15,0,0,1,3817.9403568532384,0.5531090364629205,0.5494128074451584,0.5472564747919194,0.025460122699386502,0.28932776493099,Low,5.480540210408599,86.79254292399838,5.7865552986198,7.3997686596033425
TRANSFER,3,4,382.2,1470.0,Advance shipping,0,64,Computers,Carson,EE. UU.,Hedy,14345,Hester,Corporate,CA,8270 Tawny Butterfly Inlet,90745,10,Technology,33.83131027,-118.2677536,Europe,Estocolmo,Suecia,14345,30.0,0.02,1500.0,0.26,1,1500.0,1470.0,382.2,Northern Europe,Estocolmo,PROCESSING,Dell Laptop,1500.0,Standard Class,2025-12-05 01:41:22.336387504,2025,12,5,4,12,3.6363636363636362,0.5134285714285715,0.02,1,0,1,8741.063502725741,0.5423328079261428,0.5974842767295597,0.5472564747919194,-0.012140455734030631,0.43266178886132745,Medium,22.214092416680156,648.9926832919912,8.653235777226548,47.82519796419153
TRANSFER,2,1,33.15,110.49,Shipping canceled,0,18,Men's Footwear,Caguas,Puerto Rico,Jonathan,11997,Smith,Consumer,PR,7274 Hazy Villas,725,4,Apparel,18.27984619,-66.3705368,Pacific Asia,Taupo,Nueva Zelanda,11997,19.5,0.15,129.99,0.3,1,129.99,110.49,33.15,Oceania,Waikato,SUSPECTED_FRAUD,Nike Men's CJ Elite 2 TD Football Cleat,129.99,First Class,2025-11-02 12:47:34.026745256,2025,11,2,6,12,0.9090909090909091,0.15089257142857143,0.15,0,1,1,17686.74166916624,0.5377740705433747,0.5893805309734513,0.5472564747919194,1.0,0.9178035781427198,High,13.848974197229879,119.30528712277216,73.42428625141758,12.697906906258282
DEBIT,4,4,155.99,399.98,Shipping on time,0,45,Fishing,Miami,EE. UU.,Mary,12022,Smith,Consumer,FL,4384 Silver Pond Mountain,33176,7,Fan Shop,25.81582642,-80.19560242,Pacific Asia,Surabaya,Indonesia,12022,0.0,0.0,399.98,0.39,1,399.98,399.98,155.99,Southeast Asia,Java Oriental,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class,2025-11-03 23:26:27.870461672,2025,11,3,0,12,3.6363636363636362,0.3597558095238095,0.0,0,0,1,15882.571737768623,0.5534976682211858,0.5,0.5472564747919194,-0.007599463567277604,0.34824947989469357,Medium,12.52847735557611,139.29282696827954,6.964989597893871,13.368960560327217
TRANSFER,3,4,54.0,199.99,Advance shipping,0,48,Water Sports,Azusa,EE. UU.,Aaron,12075,Carr,Home Office,CA,8435 Round Drive,91702,7,Fan Shop,34.13360977,-117.9058914,Europe,Harrow,Reino Unido,12075,0.0,0.0,199.99,0.27,1,199.99,199.99,54.0,Northern Europe,Inglaterra,PENDING,Pelican Sunstream 100 Kayak,199.99,Standard Class,2025-11-07 00:54:39.522263704,2025,11,7,4,12,3.6363636363636362,0.17475923809523808,0.0,0,0,1,8697.434967127669,0.5423328079261428,0.5068618481244281,0.5472564747919194,-0.012140455734030631,0.20779463616006047,Low,3.6314032295609375,41.55684928565049,4.15589272320121,3.945972248963405
DEBIT,2,1,18.45,49.19,Late delivery,1,17,Cleats,Caguas,Puerto Rico,Sara,11991,Smith,Consumer,PR,3691 Gentle Way,725,4,Apparel,18.25635529,-66.37055206,LATAM,Bogotá,Colombia,11991,10.8,0.18,59.99,0.38,1,59.99,49.19,18.45,South America,Bogotá,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,First Class,2025-11-02 05:30:49.437729200,2025,11,2,6,12,0.9090909090909091,0.13454590476190476,0.18,0,1,1,3763.2350480101036,0.5434159972057283,0.4896551724137931,0.5472564747919194,1.0,0.9753718125875873,High,13.123228300385595,58.51255503712937,78.02974500700698,8.760044622382
PAYMENT,5,4,-8.19,36.39,Late delivery,1,29,Shop By Sport,Caguas,Puerto Rico,Mary,12425,Smith,Consumer,PR,1050 Grand Forest Towers,725,5,Golf,18.26472473,-66.37050629,Europe,Elx,España,12425,3.6,0.09,39.99,-0.23,1,39.99,36.39,-8.19,Southern Europe,Valenciana,PENDING_PAYMENT,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class,2025-11-26 15:25:44.156261424,2025,11,26,2,12,3.6363636363636362,0.1311325714285714,0.09,0,0,1,7995.397838288258,0.5446658851113716,0.5742725880551302,0.5472564747919194,-0.04512600117210393,0.3875461676723093,Medium,5.081992551415821,15.49797124521565,7.750923353446186,2.9626752952792677
